round_epochs,loss,accuracy,val_loss,val_accuracy,output_count_lstm,output_count_dense,batch_size,epochs,optimizer,activation,last_activation,dropout,loss
2,0.05006876215338707,0.9867144227027893,0.04703446477651596,0.9940151572227478,40,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.051499027758836746,0.9861895442008972,0.04846053197979927,0.9940151572227478,40,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.050031907856464386,0.9874037504196167,0.04924222081899643,0.9934824705123901,40,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05090085789561272,0.992816686630249,0.048368602991104126,0.9940151572227478,40,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.049264274537563324,0.9859858751296997,0.04787037521600723,0.9928244948387146,40,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.050279419869184494,0.978285551071167,0.04697777330875397,0.9939525127410889,40,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05070088058710098,0.9893150925636292,0.048490654677152634,0.9940151572227478,50,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.051858942955732346,0.9903021454811096,0.048505496233701706,0.9940151572227478,50,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04908066242933273,0.9823824763298035,0.04716693237423897,0.9938898086547852,50,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.051249828189611435,0.987881600856781,0.04749283567070961,0.9940151572227478,50,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.0491420142352581,0.9852338433265686,0.04665365070104599,0.9937645196914673,50,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.0514058843255043,0.992816686630249,0.04791916906833649,0.9940151572227478,50,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04912777990102768,0.9844661951065063,0.04665014520287514,0.9940151572227478,60,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.051294561475515366,0.9838317036628723,0.04793965071439743,0.9940151572227478,60,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04989825189113617,0.9814032912254333,0.04897848889231682,0.9916651248931885,60,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05062897503376007,0.9830169677734375,0.047368373721838,0.993983805179596,60,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.048705749213695526,0.9861660599708557,0.046689048409461975,0.9940151572227478,60,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05040987953543663,0.9883280992507935,0.0476781502366066,0.9938585162162781,60,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
