round_epochs,loss,accuracy,val_loss,val_accuracy,output_count_lstm,output_count_dense,batch_size,epochs,optimizer,activation,last_activation,dropout,loss
2,0.04990467429161072,0.974768340587616,0.047622568905353546,0.9947985410690308,40,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05200432613492012,0.9832285046577454,0.04915393143892288,0.9947985410690308,40,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05040847882628441,0.9876074194908142,0.04787861555814743,0.99470454454422,40,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05178101360797882,0.9913439750671387,0.047885555773973465,0.9947985410690308,40,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05003974959254265,0.9906546473503113,0.04780814051628113,0.9946418404579163,40,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.0515945628285408,0.9853591918945312,0.04850628599524498,0.9947671890258789,40,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.049942899495363235,0.9893699288368225,0.047218069434165955,0.9947985410690308,50,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.051191847771406174,0.9752774834632874,0.04862876608967781,0.9945478439331055,50,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.049011263996362686,0.9865812063217163,0.04681151360273361,0.994735836982727,50,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05095342919230461,0.9856255650520325,0.04876396432518959,0.9947985410690308,50,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.048806238919496536,0.9846855401992798,0.04682304337620735,0.9936391711235046,50,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05036824569106102,0.9628143906593323,0.047106750309467316,0.9947985410690308,50,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04942484572529793,0.9882341027259827,0.04735253006219864,0.9947985410690308,60,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.0517878532409668,0.9912421703338623,0.04829590395092964,0.9948298335075378,60,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04887806624174118,0.9833381772041321,0.04664216563105583,0.9943912029266357,60,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05097441375255585,0.9899888038635254,0.04794498160481453,0.9947671890258789,60,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04800690338015556,0.9875682592391968,0.04771755263209343,0.9947671890258789,60,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05028615891933441,0.9806826114654541,0.04848260059952736,0.9946731925010681,60,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
